open_date;open_time;close_date;close_time;pnl_abs;pnl_pct;entry_price;exit_price
2008-12-12;03:33:00;2008-12-12;04:08:00;122.43377;0.11086;1.33852;1.33811
2008-12-12;06:28:00;2008-12-12;06:50:00;236.76408;0.21414;1.32878;1.32952
2008-12-12;16:30:00;2008-12-12;16:41:00;496.36033;0.44797;1.33199;1.33347
2008-12-15;13:24:00;2008-12-15;14:00:00;-1125.52419;-1.01126;1.35338;1.35660
2008-12-16;16:24:00;2008-12-16;16:45:00;-1116.54149;-1.01344;1.37936;1.38265
2008-12-17;04:46:00;2008-12-17;04:53:00;-1103.08922;-1.01148;1.41432;1.41768
2008-12-17;04:53:00;2008-12-17;04:58:00;572.82222;0.53062;1.41798;1.41505
2008-12-17;06:13:00;2008-12-17;06:25:00;463.60104;0.42718;1.40513;1.40662
2008-12-17;12:32:00;2008-12-17;12:55:00;253.53700;0.23262;1.40482;1.40566
2008-12-18;05:28:00;2008-12-18;05:52:00;315.50178;0.28881;1.44881;1.44776
2008-12-18;07:07:00;2008-12-18;07:15:00;486.33590;0.44390;1.43841;1.43999
2008-12-18;13:57:00;2008-12-18;14:03:00;-1112.00105;-1.01049;1.45689;1.45340
2008-12-18;16:13:00;2008-12-18;16:25:00;461.57592;0.42372;1.42633;1.43261
2008-12-19;01:05:00;2008-12-19;01:05:00;600.88061;0.54628;1.42241;1.42432
2008-12-19;06:29:00;2008-12-19;06:39:00;474.75433;0.43161;1.42186;1.42338
2008-12-19;16:29:00;2008-12-19;16:32:00;525.06419;0.47530;1.38819;1.38983
2008-12-22;00:31:00;2008-12-22;00:50:00;377.72682;0.34031;1.40287;1.40098
2008-12-22;07:31:00;2008-12-22;07:36:00;-1126.85084;-1.01178;1.40538;1.40873
2008-12-22;07:47:00;2008-12-22;07:55:00;527.88376;0.47882;1.40964;1.40700
2008-12-22;10:37:00;2008-12-22;10:37:00;605.80778;0.54391;1.40144;1.40332
2008-12-22;10:58:00;2008-12-22;11:05:00;563.47476;0.50590;1.39751;1.40031
2008-12-29;01:56:00;2008-12-29;02:15:00;323.35541;0.28886;1.41749;1.41646
2008-12-29;06:13:00;2008-12-29;06:23:00;512.71747;0.45669;1.42141;1.41980
2008-12-29;10:57:00;2008-12-29;11:08:00;513.46407;0.45528;1.43613;1.43357
2008-12-29;18:54:00;2008-12-29;19:22:00;266.69827;0.23541;1.40452;1.40665
2008-12-30;00:30:00;2008-12-30;00:53:00;407.16780;0.35855;1.40876;1.40676
2008-12-30;06:16:00;2008-12-30;06:31:00;-1148.28386;-1.00756;1.40460;1.40123
2008-12-30;06:32:00;2008-12-30;06:36:00;599.40280;0.53130;1.40051;1.40345
2008-12-30;12:55:00;2008-12-30;12:55:00;620.21245;0.54386;1.41223;1.41413
2008-12-31;02:55:00;2008-12-31;03:03:00;562.35834;0.49313;1.40548;1.40720
2008-12-31;06:58:00;2008-12-31;07:12:00;451.75958;0.39420;1.41402;1.41264
2008-12-31;11:40:00;2008-12-31;11:40:00;626.24688;0.54137;1.40194;1.40382
2008-12-31;12:15:00;2008-12-31;13:17:00;-1157.09493;-1.00027;1.39657;1.39116
2008-12-31;13:26:00;2008-12-31;13:39:00;542.19746;0.47345;1.38557;1.38976
